"","eventID","occurrenceID","recordedBy","measurementType","measurementValue","measurementUnit"
"155","Site3_01/12/1929","Site3_01/12/1929_A73","Edgar Anderson","petal length","4.9","cm"
"156","Site3_01/12/1929","Site3_01/12/1929_A73","Edgar Anderson","petal width","1.5","cm"
"157","Site3_01/12/1929","Site3_01/12/1929_A88","Edgar Anderson","sepal length","6.3","cm"
"158","Site3_01/12/1929","Site3_01/12/1929_A88","Edgar Anderson","sepal width","2.3","cm"
"159","Site3_01/12/1929","Site3_01/12/1929_A88","Edgar Anderson","petal length","4.4","cm"
"160","Site3_01/12/1929","Site3_01/12/1929_A88","Edgar Anderson","petal width","1.3","cm"
"161","Site1_01/12/1929","Site1_01/12/1929_A150","Edgar Anderson","sepal length","5.9","cm"
"162","Site1_01/12/1929","Site1_01/12/1929_A150","Edgar Anderson","sepal width","3","cm"
"163","Site1_01/12/1929","Site1_01/12/1929_A150","Edgar Anderson","petal length","5.1","cm"
"164","Site1_01/12/1929","Site1_01/12/1929_A150","Edgar Anderson","petal width","1.8","cm"
"165","Site2_13/02/1930","Site2_13/02/1930_A128","Edgar Anderson","sepal length","6.1","cm"
"166","Site2_13/02/1930","Site2_13/02/1930_A128","Edgar Anderson","sepal width","3","cm"
"167","Site2_13/02/1930","Site2_13/02/1930_A128","Edgar Anderson","petal length","4.9","cm"
"168","Site2_13/02/1930","Site2_13/02/1930_A128","Edgar Anderson","petal width","1.8","cm"
"169","Site3_01/12/1929","Site3_01/12/1929_A112","Edgar Anderson","sepal length","6.4","cm"
"170","Site3_01/12/1929","Site3_01/12/1929_A112","Edgar Anderson","sepal width","2.7","cm"
"171","Site3_01/12/1929","Site3_01/12/1929_A112","Edgar Anderson","petal length","5.3","cm"
"172","Site3_01/12/1929","Site3_01/12/1929_A112","Edgar Anderson","petal width","1.9","cm"
"173","Site3_01/12/1929","Site3_01/12/1929_A127","Edgar Anderson","sepal length","6.2","cm"
"174","Site3_01/12/1929","Site3_01/12/1929_A127","Edgar Anderson","sepal width","2.8","cm"
"175","Site3_01/12/1929","Site3_01/12/1929_A127","Edgar Anderson","petal length","4.8","cm"
"176","Site3_01/12/1929","Site3_01/12/1929_A127","Edgar Anderson","petal width","1.8","cm"
"177","Site2_13/02/1930","Site2_13/02/1930_A140","Edgar Anderson","sepal length","6.9","cm"
"178","Site2_13/02/1930","Site2_13/02/1930_A140","Edgar Anderson","sepal width","3.1","cm"
"179","Site2_13/02/1930","Site2_13/02/1930_A140","Edgar Anderson","petal length","5.4","cm"
"180","Site2_13/02/1930","Site2_13/02/1930_A140","Edgar Anderson","petal width","2.1","cm"
"181","Site2_13/02/1930","Site2_13/02/1930_A119","Edgar Anderson","sepal length","7.7","cm"
"182","Site2_13/02/1930","Site2_13/02/1930_A119","Edgar Anderson","sepal width","2.6","cm"
"183","Site2_13/02/1930","Site2_13/02/1930_A119","Edgar Anderson","petal length","6.9","cm"
"184","Site2_13/02/1930","Site2_13/02/1930_A119","Edgar Anderson","petal width","2.3","cm"
"185","Site3_01/12/1929","Site3_01/12/1929_A97","Edgar Anderson","sepal length","5.7","cm"
"186","Site3_01/12/1929","Site3_01/12/1929_A97","Edgar Anderson","sepal width","2.9","cm"
"187","Site3_01/12/1929","Site3_01/12/1929_A97","Edgar Anderson","petal length","4.2","cm"
"188","Site3_01/12/1929","Site3_01/12/1929_A97","Edgar Anderson","petal width","1.3","cm"
"189","Site3_01/12/1929","Site3_01/12/1929_A79","Edgar Anderson","sepal length","6","cm"
"190","Site3_01/12/1929","Site3_01/12/1929_A79","Edgar Anderson","sepal width","2.9","cm"
"191","Site3_01/12/1929","Site3_01/12/1929_A79","Edgar Anderson","petal length","4.5","cm"
"192","Site3_01/12/1929","Site3_01/12/1929_A79","Edgar Anderson","petal width","1.5","cm"
"193","Site1_01/12/1929","Site1_01/12/1929_A3","Edgar Anderson","sepal length","4.7","cm"
"194","Site1_01/12/1929","Site1_01/12/1929_A3","Edgar Anderson","sepal width","3.2","cm"
"195","Site1_01/12/1929","Site1_01/12/1929_A3","Edgar Anderson","petal length","1.3","cm"
"196","Site1_01/12/1929","Site1_01/12/1929_A3","Edgar Anderson","petal width","0.2","cm"
"197","Site1_01/12/1929","Site1_01/12/1929_A99","Edgar Anderson","sepal length","5.1","cm"
"198","Site1_01/12/1929","Site1_01/12/1929_A99","Edgar Anderson","sepal width","2.5","cm"
"199","Site1_01/12/1929","Site1_01/12/1929_A99","Edgar Anderson","petal length","3","cm"
"200","Site1_01/12/1929","Site1_01/12/1929_A99","Edgar Anderson","petal width","1.1","cm"
"201","Site2_13/02/1930","Site2_13/02/1930_A14","Edgar Anderson","sepal length","4.3","cm"
"202","Site2_13/02/1930","Site2_13/02/1930_A14","Edgar Anderson","sepal width","3","cm"
"203","Site2_13/02/1930","Site2_13/02/1930_A14","Edgar Anderson","petal length","1.1","cm"
"204","Site2_13/02/1930","Site2_13/02/1930_A14","Edgar Anderson","petal width","0.1","cm"
"205","Site2_13/02/1930","Site2_13/02/1930_A68","Edgar Anderson","sepal length","5.8","cm"
"206","Site2_13/02/1930","Site2_13/02/1930_A68","Edgar Anderson","sepal width","2.7","cm"
"207","Site2_13/02/1930","Site2_13/02/1930_A68","Edgar Anderson","petal length","4.1","cm"
"208","Site2_13/02/1930","Site2_13/02/1930_A68","Edgar Anderson","petal width","1","cm"
"209","Site3_01/12/1929","Site3_01/12/1929_A31","Edgar Anderson","sepal length","4.8","cm"
"210","Site3_01/12/1929","Site3_01/12/1929_A31","Edgar Anderson","sepal width","3.1","cm"
"211","Site3_01/12/1929","Site3_01/12/1929_A31","Edgar Anderson","petal length","1.6","cm"
"212","Site3_01/12/1929","Site3_01/12/1929_A31","Edgar Anderson","petal width","0.2","cm"
"213","Site1_01/12/1929","Site1_01/12/1929_A6","Edgar Anderson","sepal length","5.4","cm"
"214","Site1_01/12/1929","Site1_01/12/1929_A6","Edgar Anderson","sepal width","3.9","cm"
"215","Site1_01/12/1929","Site1_01/12/1929_A6","Edgar Anderson","petal length","1.7","cm"
"216","Site1_01/12/1929","Site1_01/12/1929_A6","Edgar Anderson","petal width","0.4","cm"
"217","Site3_01/12/1929","Site3_01/12/1929_A16","Edgar Anderson","sepal length","5.7","cm"
"218","Site3_01/12/1929","Site3_01/12/1929_A16","Edgar Anderson","sepal width","4.4","cm"
"219","Site3_01/12/1929","Site3_01/12/1929_A16","Edgar Anderson","petal length","1.5","cm"
"220","Site3_01/12/1929","Site3_01/12/1929_A16","Edgar Anderson","petal width","0.4","cm"
"221","Site2_13/02/1930","Site2_13/02/1930_A50","Edgar Anderson","sepal length","5","cm"
"222","Site2_13/02/1930","Site2_13/02/1930_A50","Edgar Anderson","sepal width","3.3","cm"
"223","Site2_13/02/1930","Site2_13/02/1930_A50","Edgar Anderson","petal length","1.4","cm"
"224","Site2_13/02/1930","Site2_13/02/1930_A50","Edgar Anderson","petal width","0.2","cm"
"225","Site3_01/12/1929","Site3_01/12/1929_A70","Edgar Anderson","sepal length","5.6","cm"
"226","Site3_01/12/1929","Site3_01/12/1929_A70","Edgar Anderson","sepal width","2.5","cm"
"227","Site3_01/12/1929","Site3_01/12/1929_A70","Edgar Anderson","petal length","3.9","cm"
"228","Site3_01/12/1929","Site3_01/12/1929_A70","Edgar Anderson","petal width","1.1","cm"
"229","Site1_01/12/1929","Site1_01/12/1929_A51","Edgar Anderson","sepal length","7","cm"
"230","Site1_01/12/1929","Site1_01/12/1929_A51","Edgar Anderson","sepal width","3.2","cm"
"231","Site1_01/12/1929","Site1_01/12/1929_A51","Edgar Anderson","petal length","4.7","cm"
"232","Site1_01/12/1929","Site1_01/12/1929_A51","Edgar Anderson","petal width","1.4","cm"
"233","Site1_01/12/1929","Site1_01/12/1929_A48","Edgar Anderson","sepal length","4.6","cm"
"234","Site1_01/12/1929","Site1_01/12/1929_A48","Edgar Anderson","sepal width","3.2","cm"
"235","Site1_01/12/1929","Site1_01/12/1929_A48","Edgar Anderson","petal length","1.4","cm"
"236","Site1_01/12/1929","Site1_01/12/1929_A48","Edgar Anderson","petal width","0.2","cm"
"237","Site2_13/02/1930","Site2_13/02/1930_A104","Edgar Anderson","sepal length","6.3","cm"
"238","Site2_13/02/1930","Site2_13/02/1930_A104","Edgar Anderson","sepal width","2.9","cm"
"239","Site2_13/02/1930","Site2_13/02/1930_A104","Edgar Anderson","petal length","5.6","cm"
"240","Site2_13/02/1930","Site2_13/02/1930_A104","Edgar Anderson","petal width","1.8","cm"
"241","Site1_01/12/1929","Site1_01/12/1929_A24","Edgar Anderson","sepal length","5.1","cm"
"242","Site1_01/12/1929","Site1_01/12/1929_A24","Edgar Anderson","sepal width","3.3","cm"
"243","Site1_01/12/1929","Site1_01/12/1929_A24","Edgar Anderson","petal length","1.7","cm"
"244","Site1_01/12/1929","Site1_01/12/1929_A24","Edgar Anderson","petal width","0.5","cm"
"245","Site3_01/12/1929","Site3_01/12/1929_A94","Edgar Anderson","sepal length","5","cm"
"246","Site3_01/12/1929","Site3_01/12/1929_A94","Edgar Anderson","sepal width","2.3","cm"
"247","Site3_01/12/1929","Site3_01/12/1929_A94","Edgar Anderson","petal length","3.3","cm"
"248","Site3_01/12/1929","Site3_01/12/1929_A94","Edgar Anderson","petal width","1","cm"
"249","Site2_13/02/1930","Site2_13/02/1930_A143","Edgar Anderson","sepal length","5.8","cm"
"250","Site2_13/02/1930","Site2_13/02/1930_A143","Edgar Anderson","sepal width","2.7","cm"
"251","Site2_13/02/1930","Site2_13/02/1930_A143","Edgar Anderson","petal length","5.1","cm"
"252","Site2_13/02/1930","Site2_13/02/1930_A143","Edgar Anderson","petal width","1.9","cm"
"253","Site1_01/12/1929","Site1_01/12/1929_A132","Edgar Anderson","sepal length","7.9","cm"
"254","Site1_01/12/1929","Site1_01/12/1929_A132","Edgar Anderson","sepal width","3.8","cm"
"255","Site1_01/12/1929","Site1_01/12/1929_A132","Edgar Anderson","petal length","6.4","cm"
"256","Site1_01/12/1929","Site1_01/12/1929_A132","Edgar Anderson","petal width","2","cm"
"257","Site2_13/02/1930","Site2_13/02/1930_A131","Edgar Anderson","sepal length","7.4","cm"
"258","Site2_13/02/1930","Site2_13/02/1930_A131","Edgar Anderson","sepal width","2.8","cm"
"259","Site2_13/02/1930","Site2_13/02/1930_A131","Edgar Anderson","petal length","6.1","cm"
"260","Site2_13/02/1930","Site2_13/02/1930_A131","Edgar Anderson","petal width","1.9","cm"
"261","Site1_01/12/1929","Site1_01/12/1929_A42","Edgar Anderson","sepal length","4.5","cm"
"262","Site1_01/12/1929","Site1_01/12/1929_A42","Edgar Anderson","sepal width","2.3","cm"
"263","Site1_01/12/1929","Site1_01/12/1929_A42","Edgar Anderson","petal length","1.3","cm"
"264","Site1_01/12/1929","Site1_01/12/1929_A42","Edgar Anderson","petal width","0.3","cm"
"265","Site3_01/12/1929","Site3_01/12/1929_A136","Edgar Anderson","sepal length","7.7","cm"
"266","Site3_01/12/1929","Site3_01/12/1929_A136","Edgar Anderson","sepal width","3","cm"
"267","Site3_01/12/1929","Site3_01/12/1929_A136","Edgar Anderson","petal length","6.1","cm"
"268","Site3_01/12/1929","Site3_01/12/1929_A136","Edgar Anderson","petal width","2.3","cm"
"269","Site4_01/12/1929","Site4_01/12/1929_A43","Edgar Anderson","sepal length","4.4","cm"
"270","Site4_01/12/1929","Site4_01/12/1929_A43","Edgar Anderson","sepal width","3.2","cm"
"271","Site4_01/12/1929","Site4_01/12/1929_A43","Edgar Anderson","petal length","1.3","cm"
"272","Site4_01/12/1929","Site4_01/12/1929_A43","Edgar Anderson","petal width","0.2","cm"
"273","Site2_13/02/1930","Site2_13/02/1930_A20","Edgar Anderson","sepal length","5.1","cm"
"274","Site2_13/02/1930","Site2_13/02/1930_A20","Edgar Anderson","sepal width","3.8","cm"
"275","Site2_13/02/1930","Site2_13/02/1930_A20","Edgar Anderson","petal length","1.5","cm"
"276","Site2_13/02/1930","Site2_13/02/1930_A20","Edgar Anderson","petal width","0.3","cm"
"277","Site3_01/12/1929","Site3_01/12/1929_A145","Edgar Anderson","sepal length","6.7","cm"
"278","Site3_01/12/1929","Site3_01/12/1929_A145","Edgar Anderson","sepal width","3.3","cm"
"279","Site3_01/12/1929","Site3_01/12/1929_A145","Edgar Anderson","petal length","5.7","cm"
"280","Site3_01/12/1929","Site3_01/12/1929_A145","Edgar Anderson","petal width","2.5","cm"
"281","Site2_13/02/1930","Site2_13/02/1930_A80","Edgar Anderson","sepal length","5.7","cm"
"282","Site2_13/02/1930","Site2_13/02/1930_A80","Edgar Anderson","sepal width","2.6","cm"
